Daily Predicted,Date,Real Average Monthly/30
359.9272347,Sep 2018,
131.6017147,Sep 2018,
160.1424047,Sep 2018,
302.8458547,Sep 2018,
417.0086147,Sep 2018,
359.9272347,Sep 2018,
274.3051647,Sep 2018,
103.0610247,Sep 2018,
185.0974977,Sep 2018,
470.5043977,Sep 2018,
584.6671577,Sep 2018,
613.2078477,Sep 2018,
527.5857777,Sep 2018,
441.9637077,Sep 2018,
384.8823277,Sep 2018,
641.7485377,Sep 2018,
499.0450877,Sep 2018,
356.3416377,Oct 2018,334
242.1788777,Oct 2018,
270.7195677,Oct 2018,
327.8009477,Oct 2018,
327.8009477,Oct 2018,
641.7485377,Oct 2018,
413.4230177,Oct 2018,
841.5333677,Oct 2018,
812.9926777,Oct 2018,
641.7485377,Oct 2018,
556.1264677,Oct 2018,
527.5857777,Oct 2018,
499.0450877,Oct 2018,
955.6961277,Oct 2018,
1012.777508,Oct 2018,
698.8299177,Oct 2018,
755.9112977,Oct 2018,
955.6961277,Oct 2018,
698.8299177,Oct 2018,
870.0740577,Oct 2018,
927.1554377,Oct 2018,
1044.551819,Oct 2018,
930.3890591,Oct 2018,
1130.173889,Oct 2018,
930.3890591,Oct 2018,
759.1449191,Oct 2018,
730.6042291,Oct 2018,
930.3890591,Oct 2018,
1187.255269,Oct 2018,
1130.173889,Oct 2018,
1130.173889,Oct 2018,
1101.633199,Nov 2018,1067.666667
1158.714579,Nov 2018,
1073.092509,Nov 2018,
1073.092509,Nov 2018,
1101.633199,Nov 2018,
1073.092509,Nov 2018,
930.3890591,Nov 2018,
1044.551819,Nov 2018,
1073.092509,Nov 2018,
930.3890591,Nov 2018,
644.9821591,Nov 2018,
473.7380191,Nov 2018,
816.2262991,Nov 2018,
930.3890591,Nov 2018,
1016.011129,Nov 2018,
873.3076791,Nov 2018,
1016.011129,Nov 2018,
1044.551819,Nov 2018,
1073.092509,Nov 2018,
1130.173889,Nov 2018,
1016.011129,Nov 2018,
1025.205347,Nov 2018,
853.9612072,Nov 2018,
1139.368107,Nov 2018,
1025.205347,Nov 2018,
968.1239672,Nov 2018,
1139.368107,Nov 2018,
1282.071557,Nov 2018,
1481.856387,Nov 2018,
1253.530867,Nov 2018,
939.5832772,Dec 2018,1402.4
1339.152937,Dec 2018,
1253.530867,Dec 2018,
1653.100527,Dec 2018,
1767.263287,Dec 2018,
