Date,Henry Hub Daily Price
Sep-2014,3.82
Sep-2014,3.94
Sep-2014,3.98
Sep-2014,3.93
Sep-2014,3.86
Sep-2014,3.86
Sep-2014,3.91
Sep-2014,3.94
Sep-2014,4.01
Aug-2014,4.04
Aug-2014,4.06
Aug-2014,4.02
Aug-2014,3.99
Aug-2014,3.94
Aug-2014,3.88
Aug-2014,3.88
Aug-2014,3.88
Aug-2014,3.84
Aug-2014,3.78
Aug-2014,3.8
Aug-2014,3.85
Aug-2014,3.9
Aug-2014,3.94
Aug-2014,4
Aug-2014,3.94
Aug-2014,3.99
Aug-2014,3.92
Aug-2014,3.87
Aug-2014,3.87
Aug-2014,3.77
Jul-2014,3.78
Jul-2014,3.78
Jul-2014,3.79
Jul-2014,3.84
Jul-2014,3.86
Jul-2014,3.83
Jul-2014,3.83
Jul-2014,3.81
Jul-2014,3.87
Jul-2014,4.08
Jul-2014,4.04
Jul-2014,4.16
Jul-2014,4.13
Jul-2014,4.13
Jul-2014,4.13
Jul-2014,4.15
Jul-2014,4.17
Jul-2014,4.18
Jul-2014,4.31
Jul-2014,4.31
Jul-2014,4.47
Jul-2014,4.47
Jun-2014,4.39
Jun-2014,4.39
Jun-2014,4.58
Jun-2014,4.58
Jun-2014,4.49
Jun-2014,4.53
Jun-2014,4.53
Jun-2014,4.67
Jun-2014,4.68
Jun-2014,4.68
Jun-2014,4.71
Jun-2014,4.7
Jun-2014,4.51
Jun-2014,4.51
Jun-2014,4.67
Jun-2014,4.67
Jun-2014,4.66
Jun-2014,4.66
Jun-2014,4.62
Jun-2014,4.62
Jun-2014,4.49
May-2014,4.49
May-2014,4.63
May-2014,4.56
May-2014,4.4
May-2014,4.4
May-2014,4.57
May-2014,4.57
May-2014,4.53
May-2014,4.54
May-2014,4.42
May-2014,4.42
May-2014,4.47
May-2014,4.47
May-2014,4.52
May-2014,4.59
May-2014,4.77
May-2014,4.82
May-2014,4.8
May-2014,4.73
May-2014,4.73
May-2014,4.79
Apr-2014,4.79
Apr-2014,4.78
Apr-2014,4.72
Apr-2014,4.83
Apr-2014,4.81
Apr-2014,4.81
Apr-2014,4.76
Apr-2014,4.76
Apr-2014,4.64
Apr-2014,4.64
Apr-2014,4.69
Apr-2014,4.64
Apr-2014,4.67
Apr-2014,4.67
Apr-2014,4.67
Apr-2014,4.57
Apr-2014,4.58
Apr-2014,4.49
Apr-2014,4.51
Apr-2014,4.39
Apr-2014,4.39
Mar-2014,4.48
Mar-2014,4.5
Mar-2014,4.39
Mar-2014,4.44
Mar-2014,4.53
Mar-2014,4.42
Mar-2014,4.33
Mar-2014,4.39
Mar-2014,4.43
Mar-2014,4.42
Mar-2014,4.57
Mar-2014,4.4
Mar-2014,4.41
Mar-2014,4.72
Mar-2014,4.67
Mar-2014,4.67
Mar-2014,4.78
Mar-2014,4.89
Mar-2014,6.46
Mar-2014,7.98
Mar-2014,7.09
Feb-2014,4.8
Feb-2014,4.61
Feb-2014,4.81
Feb-2014,5.21
Feb-2014,6.08
Feb-2014,6.24
Feb-2014,5.96
Feb-2014,6
Feb-2014,5.8
Feb-2014,5.54
Feb-2014,5.34
Feb-2014,5.96
Feb-2014,7.75
Feb-2014,8.15
Feb-2014,5.92
Feb-2014,6.9
Feb-2014,8.12
Feb-2014,5.78
Feb-2014,5.04
Jan-2014,5.04
Jan-2014,5.27
Jan-2014,5.23
Jan-2014,5.25
Jan-2014,5.66
Jan-2014,5.17
Jan-2014,5.64
Jan-2014,4.92
Jan-2014,4.61
Jan-2014,4.39
Jan-2014,4.55
Jan-2014,4.45
Jan-2014,4.36
Jan-2014,4.19
Jan-2014,3.95
Jan-2014,4.15
Jan-2014,4.36
Jan-2014,4.58
Jan-2014,4.5
Jan-2014,4.39
Jan-2014,4.32
Dec-2013,4.31
Dec-2013,4.41
Dec-2013,4.34
Dec-2013,4.4
Dec-2013,4.52
Dec-2013,4.52
Dec-2013,4.35
Dec-2013,4.25
Dec-2013,4.25
Dec-2013,4.2
Dec-2013,4.21
Dec-2013,4.44
Dec-2013,4.4
Dec-2013,4.24
Dec-2013,4.24
Dec-2013,4.24
Dec-2013,4.15
Dec-2013,3.97
Dec-2013,3.89
Dec-2013,3.84
Dec-2013,3.85
Nov-2013,3.87
Nov-2013,3.87
Nov-2013,3.87
Nov-2013,3.85
Nov-2013,3.78
Nov-2013,3.68
Nov-2013,3.63
Nov-2013,3.63
Nov-2013,3.71
Nov-2013,3.56
Nov-2013,3.52
Nov-2013,3.69
Nov-2013,3.69
Nov-2013,3.62
Nov-2013,3.54
Nov-2013,3.59
Nov-2013,3.46
Nov-2013,3.37
Nov-2013,3.38
Nov-2013,3.45
Oct-2013,3.57
Oct-2013,3.55
Oct-2013,3.57
Oct-2013,3.61
Oct-2013,3.69
Oct-2013,3.65
Oct-2013,3.66
Oct-2013,3.7
Oct-2013,3.77
Oct-2013,3.72
Oct-2013,3.75
Oct-2013,3.84
Oct-2013,3.83
Oct-2013,3.82
Oct-2013,3.74
Oct-2013,3.74
Oct-2013,3.7
Oct-2013,3.72
Oct-2013,3.62
Oct-2013,3.57
Oct-2013,3.58
Oct-2013,3.63
Oct-2013,3.56
Sep-2013,3.48
Sep-2013,3.51
Sep-2013,3.49
Sep-2013,3.52
Sep-2013,3.59
Sep-2013,3.66
Sep-2013,3.68
Sep-2013,3.73
Sep-2013,3.72
Sep-2013,3.77
Sep-2013,3.64
Sep-2013,3.6
Sep-2013,3.57
Sep-2013,3.6
Sep-2013,3.65
Sep-2013,3.62
Sep-2013,3.55
Sep-2013,3.7
Sep-2013,3.68
Sep-2013,3.64
Aug-2013,3.57
Aug-2013,3.58
Aug-2013,3.54
Aug-2013,3.5
Aug-2013,3.55
Aug-2013,3.5
Aug-2013,3.52
Aug-2013,3.51
Aug-2013,3.48
Aug-2013,3.46
Aug-2013,3.35
Aug-2013,3.34
Aug-2013,3.36
Aug-2013,3.34
Aug-2013,3.34
Aug-2013,3.32
Aug-2013,3.27
Aug-2013,3.32
Aug-2013,3.35
Aug-2013,3.33
Aug-2013,3.39
Aug-2013,3.44
Jul-2013,3.46
Jul-2013,3.48
Jul-2013,3.49
Jul-2013,3.59
Jul-2013,3.68
Jul-2013,3.7
Jul-2013,3.68
Jul-2013,3.71
Jul-2013,3.78
Jul-2013,3.66
Jul-2013,3.67
Jul-2013,3.69
Jul-2013,3.67
Jul-2013,3.61
Jul-2013,3.64
Jul-2013,3.69
